framework_programme,call_id,topic_code,topic_descr,project_id,cordis_link,project_acronym,project_title,partner_role,partner_type,pic,legal_entity_vat,legal_name,legal_entity_type,legal_entity_type_descr,city,nuts_3_code,nuts_3_name,country_code,country,eu_contribution,h2020_net_eu_contribution,h2020_total_cost,signature_date,call_deadline_date,thematic_priority_abbr,thematic_priority_descr,sme_flag,project_start_date,project_end_date,pillar_abbr,pillar_descr,simplified_type_of_action,focus_area,call_year
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,900779637,-,GJOVIK KOMMUNE,PUB,Public body (excl. research and education),GJOVIK,-,Not available,NO,Norway,177500,177500,177500,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,926101390,MT22766130,EPSILON MALTA LIMITED,PRC,Private for profit (excl. education),SWATAR,MT001,Malta,MT,Malta,201250,201250,287500,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",Yes,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,927784243,IT03702320924,MEDITERRANEAN SEA AND COST FOUNDATION,OTH,Others,CAGLIARI,-,Not available,IT,Italy,667187.5,667187.5,667187.5,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,933973716,EL090197140,DIMOS EGALEO,PUB,Public body (excl. research and education),EGALEO,EL302,Δυτικός Τομέας Αθηνών,EL,Greece,425000,425000,425000,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,937657194,EL800525457,E3-MODELLING AE,PRC,Private for profit (excl. education),ATHINA,EL303,Κεντρικός Τομέας Αθηνών,EL,Greece,327906.25,327906.25,468437.5,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",Yes,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,949351126,GB115136941,WESTCOUNTRY RIVERS TRUST LBG,OTH,Others,STOKE CLIMSLAND CALLINGTON CORNWALL,UKK30,Cornwall and Isles of Scilly,UK,United Kingdom,807937.5,807937.5,807937.5,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",Yes,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,951915806,ESG15051667,FUNDACION EMPRESA UNIVERSIDAD GALLEGA,OTH,Others,SANTIAGO DE COMPOSTELA,ES111,A Coruña,ES,Spain,303625,303625,333625,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,952516430,BE0893349907,WATER EUROPE,OTH,Others,BRUXELLES,BE100,Arr. de Bruxelles-Capitale/Arr. Brussel-Hoofdstad,BE,Belgium,185073.75,185073.75,185073.75,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,991809966,ESG36885853,CENTRO TECNOLOGICO DEL MAR - FUNDACION CETMAR,REC,Research organisations,VIGO,ES114,Pontevedra,ES,Spain,593125,593125,593125,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,992798008,BE0439039420,VERHAERT NEW PRODUCTS & SERVICES NV,PRC,Private for profit (excl. education),KRUIBEKE,BE236,Arr. Sint-Niklaas,BE,Belgium,489190.63,489190.63,788843.75,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",Yes,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,997355650,FI01621933,LAPPEENRANNAN KAUPUNKI,PUB,Public body (excl. research and education),LAPPEENRANTA,FI1C5,Etelä-Karjala,FI,Finland,699062.5,699062.5,699062.5,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999419422,IT03873750750,FONDAZIONE CENTRO EURO-MEDITERRANEOSUI CAMBIAMENTI CLIMATICI,REC,Research organisations,LECCE,ITF45,Lecce,IT,Italy,977187.5,977187.5,977187.5,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999464042,DE811547185,POTSDAM INSTITUT FUER KLIMAFOLGENFORSCHUNG,REC,Research organisations,POTSDAM,DED21,"Dresden, Kreisfreie Stadt",DE,Germany,512187.5,512187.5,512187.5,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999543776,FR40413939620,EUROQUALITY SARL,PRC,Private for profit (excl. education),PARIS 08,FRK21,Ain,FR,France,273875,273875,391250,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",Yes,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999591209,FI02459042,LAPPEENRANNAN-LAHDEN TEKNILLINEN YLIOPISTO LUT,HES,Higher or secondary education,LAPPEENRANTA,FI1C5,Etelä-Karjala,FI,Finland,471000,471000,471000,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999630494,ESQ8650002B,UNIVERSIDAD DE VIGO,HES,Higher or secondary education,VIGO PONTEVEDRA,ES114,Pontevedra,ES,Spain,452500,452500,452500,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999912570,CZ60460709,CESKA ZEMEDELSKA UNIVERZITA V PRAZE,HES,Higher or secondary education,PRAHA,CZ010,Hlavní město Praha,CZ,Czechia,485875,485875,485875,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999963301,-,AGENCE DE L'ENVIRONNEMENT ET DE LAMAITRISE DE L'ENERGIE,PUB,Public body (excl. research and education),ANGERS CEDEX 01,FRG02,Maine-et-Loire,FR,France,837836.25,837836.25,837836.25,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999977851,NO974767880MVA,NORGES TEKNISK-NATURVITENSKAPELIGE UNIVERSITET NTNU,HES,Higher or secondary education,TRONDHEIM,NO060,Trøndelag,NO,Norway,457943.75,457943.75,457943.75,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,BENEFICIARY,999978239,EL090085651,"NATIONAL CENTER FOR SCIENTIFIC RESEARCH ""DEMOKRITOS""",REC,Research organisations,AGIA PARASKEVI,EL301,Βόρειος Τομέας Αθηνών,EL,Greece,488312.5,488312.5,488312.5,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,THIRDPARTY,890816670,BE0846500390,VERHAERT KORTRIJK,PRC,Private for profit (excl. education),KRUIBEKE,BE236,Arr. Sint-Niklaas,BE,Belgium,63000,63000,90000,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101036683,http://cordis.europa.eu/project/id/101036683,TransformAr,Accelerating and upscaling transformational adaptation in Europe: demonstration of water-related innovation packages,PARTICIPANT,THIRDPARTY,999829635,ESQ1518001A,UNIVERSIDAD DE SANTIAGO DE COMPOSTELA,HES,Higher or secondary education,SANTIAGO DE COMPOSTELA,ES111,A Coruña,ES,Spain,30000,30000,30000,16/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,COORDINATOR,BENEFICIARY,928030235,ESG66210345,FUNDACIO EURECAT,REC,Research organisations,CERDANYOLA DEL VALLES (BARCELONA),ES511,Barcelona,ES,Spain,1740625,1740625,1740625,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,890715111,NL809776017B01,NELEN & SCHUURMANS BV,PRC,Private for profit (excl. education),UTRECHT,NL310,Utrecht,NL,Netherlands,676637.5,676637.5,966625,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,891614689,IT00121390223,CANTINA TOBLINO SCA,PRC,Private for profit (excl. education),MADRUZZO,ITH20,Trento,IT,Italy,215162.5,215162.5,307375,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,891626038,-,CONSORZIO DEI COMUNI DELLA PROVINCIA DI TRENTO COMPRESI NEL BACINO IMBRIFERO MONTANO DEL SARCA - MINCIO E GARDA,PUB,Public body (excl. research and education),TIONE DI TRENTO,ITH20,Trento,IT,Italy,163625,163625,163625,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,892096779,NO922420866MVA,TROMS OG FINNMARK FYLKESKOMMUNE,PUB,Public body (excl. research and education),TROMSO,-,Not available,NO,Norway,988625,988625,988625,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,894026012,ESB67590687,LOBELIA EARTH SL,PRC,Private for profit (excl. education),BARCELONA,ES511,Barcelona,ES,Spain,282012.5,282012.5,515375,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",Yes,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,898288580,EL800888188,MANTIS BUSINESS INNOVATION IDIOTIKIKEFALAIOUCHIKI ETAREIA,PRC,Private for profit (excl. education),NEA IONIA,EL301,Βόρειος Τομέας Αθηνών,EL,Greece,170975,170975,244250,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,903855313,-,SDSN ASSOCIATION PARIS,REC,Research organisations,PARIS,FRK21,Ain,FR,France,249500,249500,249500,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,904326927,NL855723671B01,WATER & ENERGY INTELLIGENCE BV,PRC,Private for profit (excl. education),DELFT,NL333,Delft en Westland,NL,Netherlands,304850,304850,435500,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",Yes,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,905662714,-,"SENATSVERWALTUNG FUER UMWELT, VERKEHR UND KLIMASCHUTZ",PUB,Public body (excl. research and education),BERLIN,DE300,Berlin,DE,Germany,478500,478500,478500,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,907081727,-,JELGAVAS PASVALDIBAS OPERATIVAS INFORMACIJAS CENTRS,PUB,Public body (excl. research and education),JELGAVA,LV009,Zemgale,LV,Latvia,285500,285500,285500,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,916295951,DE308708228,EUROPEAN SCIENCE COMMUNICATION INSTITUTE (ESCI) GGMBH,OTH,Others,OLDENBURG,DE943,"Oldenburg (Oldenburg), Kreisfreie Stadt",DE,Germany,744750,744750,744750,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,919124762,IT02348070224,MOBYGIS SRL,PRC,Private for profit (excl. education),TRENTO,ITH20,Trento,IT,Italy,239085,239085,341550.1,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",Yes,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,947904080,ESS0811001G,"Departament d'Acció Climàtica, Alimentació i Agenda Rural",PUB,Public body (excl. research and education),BARCELONA,ES511,Barcelona,ES,Spain,226997.5,226997.5,226997.5,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,950629877,-,ZEMGALES PLANOSANAS REGIONS,PUB,Public body (excl. research and education),JELGAVA,LV009,Zemgale,LV,Latvia,436750,436750,436750,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,957970449,-,ETAIREIA YDREYSEOS KAI APOCHETEFSEOS PROTEYOYSIS ANONIMI ETAIREIA,PRC,Private for profit (excl. education),ATHINA,EL303,Κεντρικός Τομέας Αθηνών,EL,Greece,227850,227850,325500,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,961820476,ESS0811001G,Departament de la Vicepresidència i de Polítiques Digitals i Territori - Generalitat de Catalunya,PUB,Public body (excl. research and education),BARCELONA,ES511,Barcelona,ES,Spain,-,0,0,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,968362350,-,MINISTRY OF ENVIRONMENT AND ENERGY,PUB,Public body (excl. research and education),ATHENS,EL303,Κεντρικός Τομέας Αθηνών,EL,Greece,206750,206750,206750,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
H2020,H2020-LC-GD-2020-2,LC-GD-1-3-2020,Climate-resilient Innovation Packages for EU regions,101037084,http://cordis.europa.eu/project/id/101037084,IMPETUS,DYNAMIC INFORMATION MANAGEMENT APPROACH FOR THE IMPLEMENTATION OF CLIMATE RESILIENT ADAPTATION PACKAGES IN EUROPEAN REGIONS,PARTICIPANT,BENEFICIARY,994305776,DE2903303352,BERLINER WASSERBETRIEBE,PUB,Public body (excl. research and education),BERLIN,DE300,Berlin,DE,Germany,184428.13,184428.13,263468.75,13/09/2021,27/01/2021,ENV,"Climate action, environment, resource efficiency and raw materials",No,01/10/2021,30/09/2025,EU.3.,Societal Challenges,Innovation action,Not applicable,2021
